Timestep;Price;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_TypeA;G_TypeB;Demand
1.0;89.51801552018576;1547.4379850001924;5000.0;0.0;2021.708515;-29.02125;-240.12525;-8300.0
2.0;89.14995200019638;1535.9360000002048;5000.0;0.0;1987.8325750000001;-17.333325000000002;-296.43525;-8210.0
3.0;79.0595843207256;1220.6120100007556;5000.0;0.0;1943.6796649999999;-21.291675;-123.0;-8020.0
4.0;75.79843152101566;1118.700985001055;5000.0;0.0;1901.0492649999999;-27.625;-78.12525;-7914.0
5.0;72.82251680127989;1025.7036500013282;5000.0;0.0;1930.4210999999998;-15.75;-97.37474999999999;-7843.0
6.0;67.52580352104499;860.1813600010753;5000.0;0.0;1931.943615;-22.875;-57.249975;-7712.0
7.0;66.37604212859871;824.2513165006089;5000.0;0.0;1957.0651;-87.96940275;-66.34701375;-7627.0
8.0;57.708699184403336;553.3968504671304;5000.0;0.0;1994.0495050000002;-24.51193425;-69.93442124999999;-7453.0
9.0;48.583412336707944;268.2316031175399;5000.0;0.0;1987.7057;-13.576429500000003;57.63912749999999;-7300.0
10.0;39.41191473297137;0.0;4932.791649747113;0.0;1954.46414;5.7437955000000045;306.0727275;-7199.0
11.0;35.70312541334772;0.0;4462.890654731312;0.0;1864.5723650000002;113.44716224999999;722.0898112499999;-7163.0
12.0;36.13459284677794;0.0;4516.824531251857;0.0;1772.523695;-78.11008174999998;872.7618412500001;-7084.0
13.0;35.23190327281295;0.0;4403.98773866635;0.0;1727.926715;-82.09265924999994;966.1782037500001;-7016.0
14.0;35.90725547465413;0.0;4488.407069330393;0.0;1709.78342;75.18179175;753.62770875;-7027.0
15.0;38.54869249339852;0.0;4818.483133643364;0.0;1697.666745;117.46170925;380.39054624999994;-7014.0
16.0;45.80018914091208;181.2556644557774;5000.0;0.0;1692.27451;3.366139000000004;99.10369500000002;-6976.0
17.0;87.4947839042506;1484.211997000262;5000.0;0.0;1709.022165;-44.642402000000004;-1190.59176;-6958.0
18.0;57.179122874256834;536.8475909607486;5000.0;0.0;1803.4180450000001;-104.214856;-280.05078;-6956.0
19.0;90.80664798415329;1587.7077495001602;5000.0;0.0;1873.70745;-241.64678325;-1245.76841625;-6974.0
20.0;66.07223808042477;814.7574400004266;5000.0;0.0;1878.7190600000001;-105.344;-622.1325;-6966.0
21.0;66.41689536061692;825.5279800006276;5000.0;0.0;1935.11552;-145.809;-607.8345;-7007.0
22.0;63.44748479763092;732.7338999975152;5000.0;0.0;1930.4210999999998;-138.57725;-533.57775;-6991.0
23.0;70.4171891213857;950.5371600014354;5000.0;0.0;1949.38909;-102.09400000000001;-763.8322499999999;-7034.0
24.0;66.20373888050166;818.8668400005073;5000.0;0.0;1936.76491;-118.94975;-530.682;-7106.0
