A;B;C
420;420;420
419;419;419
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
3;3;3
416;416;416
416;416;416
416;416;416
416;416;416
416;416;416
3;3;3
3;3;3
416;416;416
416;416;416
416;416;416
420;420;420
420;420;420
