scen_number;sensitivity;n_iter;walltime;PrimalResidual_EOM;DualResidual_EOM
1;ref;405;0;0.057146531;0.096159983
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
1;ref;405;0;0.05714653121631987;0.09615998317230648
2;ref;405;0;0.05714653121631987;0.09615998317230648
2;low cost peaker;404;0;0.07234423536995865;0.09663498954357418
2;high cost peaker;404;0;0.057802034053110574;0.0962804202429827
1;ref;405;0.4483928683333337;0.05714653121631987;0.09615998317230648
2;ref;405;0.06463520000000006;0.05714653121631987;0.09615998317230648
1;ref;437;0.08860970000000008;0.08468696839157473;0.07716801465060363
1;ref;437;0.04622044666666667;0.08468696839157473;0.07716801465060363
1;ref;437;0.050399613333333336;0.08468696839157473;0.07716801465060363
1;ref;437;0.025367783333333335;0.08468696839157473;0.07716801465060363
